"endTime","artistName","trackName","msPlayed","isPodcast"
"2021-03-29 18:27","Black Sabbath","Never Say Die",5723,"No"
"2021-03-29 18:31","Black Sabbath","Neon Knights - 2009 Remaster",231693,"No"
"2021-03-29 18:37","Black Sabbath","Computer God - 2011 Remaster",372065,"No"
"2021-03-29 18:37","Black Sabbath","Killing Yourself to Live",2360,"No"
"2021-03-29 19:50","Black Sabbath","Wicked World",280980,"No"
"2021-03-30 10:46","Rush","Bravado - 2004 Remaster",380,"No"
"2021-03-30 10:51","Rush","Bravado - 2004 Remaster",275120,"No"
"2021-03-30 10:51","Rush","Roll the Bones - 2004 Remaster",9200,"No"
"2021-03-30 10:54","Rush","For What It's Worth",14520,"No"
"2021-03-30 10:54","Rush","Heart Full of Soul",171240,"No"
"2021-03-30 10:59","Rush","Roll the Bones - 2004 Remaster",329906,"No"
"2021-03-30 16:35","Rush","Where's My Thing - 2004 Remaster",175393,"No"
"2021-03-31 10:50","Rush","Where's My Thing - 2004 Remaster",14180,"No"
"2021-03-31 10:56","Rush","Heresy - 2004 Remaster",325440,"No"
"2021-03-31 11:01","Rush","You Bet Your Life - 2004 Remaster",300920,"No"
"2021-03-31 11:03","Rush","The Pass - 2004 Remaster",110460,"No"
"2021-03-31 14:25","Rush","The Pass - 2004 Remaster",290653,"No"
"2021-03-31 14:30","Rush","War Paint - 2004 Remaster",324506,"No"
"2021-03-31 14:41","Rush","Presto - 2004 Remaster",345586,"No"
"2021-03-31 14:46","Rush","Red Tide - 2004 Remaster",270426,"No"
"2021-03-31 14:51","Rush","Available Light - 2004 Remaster",302480,"No"
"2021-03-31 14:55","Rush","Anagram - 2004 Remaster",239546,"No"
"2021-03-31 15:01","Rush","Animate - 2004 Remaster",363440,"No"
"2021-03-31 15:06","Rush","Nobody's Hero - 2004 Remaster",294600,"No"
"2021-03-31 15:11","Rush","Alien Shore - 2004 Remaster",346320,"No"
"2021-03-31 16:07","Rush","Faithless",327370,"No"
"2021-03-31 16:09","Rush","Hope - Instrumental",122346,"No"
"2021-03-31 16:14","Rush","Workin' Them Angels",294920,"No"
"2021-03-31 16:18","Rush","Limelight",259840,"No"
"2021-03-31 16:19","Yes","Roundabout - 2003 Remaster",5353,"No"
