"endTime","artistName","trackName","msPlayed","isPodcast","id"
"2021-11-11 12:29","Queen","I Can't Live With You - Remastered 2011",273412,"No","5LJy5FhiILp9WXf7g7dt6t"
"2021-11-11 12:32","Queen","Stone Cold Crazy - Remastered 2011",133548,"No","1v870eS7JuHSeBNBFsVz3b"
"2021-11-11 16:08","Queen","Sleeping On The Sidewalk - Remastered 2011",163338,"No","6T4mvqvMIwa0S6EH84QAAJ"
"2021-11-11 16:12","Queen","Sheer Heart Attack - Remastered 2011",207419,"No","5AHQ3hXjXQzmtCT5iEkh2f"
"2021-11-13 20:10","Black Sabbath","Lord of This World",322906,"No","3EUJS9hmoZPYCFuUctnfCz"
"2021-11-14 16:08","Led Zeppelin","Going to California - Remaster",186628,"No","70gbuMqwNBE2Y5rkQJE9By"
"2021-11-18 16:57","Blue Öyster Cult","Burning for You - Remastered",268260,"No","7gzbnBiHnGBpruEIWTSh1X"
"2021-11-18 17:02","Deep Purple","Perfect Strangers",328361,"No","2JhJOPGvtqMpj5RQC8cIYf"
"2021-11-18 17:07","Rainbow","Man On The Silver Mountain",10541,"No","52bzQkgk8TznulGvKOPQTK"
"2021-11-18 17:07","Rush","YYZ",265560,"No","3lpDrxUkr0tIe1kmJvdK7d"
"2021-11-20 09:56","Pink Floyd","Another Brick in the Wall, Pt. 2",238746,"No","4gMgiXfqyzZLMhsksGmbQV"
"2021-11-25 23:58","Rush","Subdivisions",334000,"No","0Z0s6dw0zw2ENU1gVjlLV6"
"2021-11-26 00:03","Rush","Chemistry",297466,"No","4J5sWlkO9gnR5o9wXwC9Ba"
"2021-11-26 00:15","Rush","Digital Man",380933,"No","1ZhhIn96uDxZrPeYinban3"
"2021-11-26 00:39","Rush","Losing It",292506,"No","7l4um9WaXEJOpYmkrXsPsE"
"2021-11-26 00:42","Rush","New World Man",222320,"No","2l1AraumK6y3VUwi8Bw7iJ"
"2021-11-29 19:57","The Who","I Am The Sea",129880,"No","0f0DUjcrkg9Vi4Eg0abLPi"
"2021-11-29 20:00","The Who","The Real Me",200706,"No","4rVvheUQ2wQpn5uXX5l0gS"
"2021-11-29 20:06","The Who","Quadrophenia",373133,"No","2daz5cSUMul4An2vCSERJC"
"2021-11-29 20:10","The Who","Cut My Hair",224346,"No","75AhlGB9aFWTxDfbmbdiCH"
