"trackID","artistName","trackName","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"3a51woc7AaIDJbjKa9Egmi","Queen","We Are The Champions - Live At The Montreal Forum / November 1981",0.299,0.88,0,-3.842,0,0.0541,0.0117,1.18e-06,0.944,0.157,97.686,207573,3
"5qlckstqDQ2RskL0SJsDYx","Pink Floyd","Fat Old Sun",0.365,0.204,0,-15.778,1,0.0314,0.352,0.424,0.823,0.201,72.689,323733,4
"3tJjZMHLqhD8DaGgdBICnc","Sleeping At Last","Saturn",0.263,0.237,3,-13.738,1,0.0344,0.638,0.305,0.109,0.0461,73.024,289792,4
"6r862ZdyJEHbiZsBOd186U","Queen","No One But You (Only The Good Die Young)",0.482,0.396,0,-8.348,0,0.0296,0.591,0,0.0927,0.0955,119.194,251333,3
"1TApsVd0AiS3ziHO4DWCJM","Rush","2112 - R30 Live Version",0.162,0.972,0,-3.271,1,0.0926,4.6e-05,0.411,0.414,0.249,135.68,503533,4
"4RkoM85FKnG3UranRq5N9p","Rush","Tom Sawyer - Snakes & Arrows Live Version",0.182,0.965,4,-4.593,1,0.0851,0.000201,0.00901,0.987,0.259,83.569,348667,4
"3DuBPMUKNtdrFUt5Yu9Yqg","Queen","Crazy Little Thing Called Love - Remastered 2011",0.601,0.762,2,-6.906,0,0.0453,0.679,1.61e-06,0.358,0.754,76.979,163360,4
"65oXAEPde2ARDKkg9A13gZ","Yes","Owner of a Lonely Heart - Extended Remix",0.872,0.601,7,-7.9,1,0.05,0.00787,0.447,0.0648,0.935,124.647,422693,4
"6zsMoyRa9nhT6IaAIHejQw","Rush","Carve Away the Stone",0.574,0.881,7,-7.398,1,0.0322,0.0327,0.88,0.358,0.407,125.987,247060,3
"4TZCHc0e08MARzh9dXHOcI","Rush","How It Is - Live R40 Tour",0.274,0.918,2,-6.267,1,0.0701,0.000147,0.00338,0.943,0.442,142.538,285407,4
"2JSwj8qqQZtL5hRcS66IA3","Rush","Faithless",0.373,0.833,0,-4.122,1,0.0336,0.00111,2.59e-06,0.252,0.448,129.57,331000,4
"4oln108lelSadoqEFlwCZi","Rush","Far Cry",0.546,0.919,9,-4.244,1,0.0314,0.00148,2.03e-06,0.665,0.704,124.989,318547,4
"2PicnFqnuKd9EwHp2xQvcn","Blue Öyster Cult","Sole Survivor",0.632,0.565,9,-9.948,0,0.0328,0.267,0,0.0816,0.462,90.79,246640,4
"01oeshlnI7gchG1pt7PS76","Pink Floyd","Shine On You Crazy Diamond",0.225,0.665,2,-6.861,0,0.0353,0.0312,0.00921,0.131,0.166,137.944,409027,3
"6a0bGgN3heaoN211kvpCEz","Queen","Too Much Love Will Kill You",0.356,0.414,7,-8.626,1,0.0297,0.315,3.7e-06,0.179,0.212,146.402,258800,4
"4nmEn8BaHCNLwvHcwAzhaU","Rush","Malignant Narcissism",0.442,0.898,9,-5.941,1,0.0772,1.24e-05,0.657,0.276,0.555,112.089,136987,4
"2JbS4ZDBIUcXavA9mfb2nC","Cream","SWLABR",0.549,0.599,4,-6.786,0,0.0454,0.272,1.11e-06,0.147,0.835,124.22,151680,4
"5EEuv5upMD3atlb8lfABIZ","Rush","Carnies (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",0.205,0.96,0,-4.657,1,0.084,0.014,0.00804,0.948,0.238,139.878,316387,4
"2s5oNg5BmJg1GwSqkPbzrT","Rush","The Wreckers",0.426,0.882,9,-5.047,0,0.0413,6.04e-05,0.0255,0.129,0.517,124.044,300987,4
"5SuIql82girz2lw2iv8eg0","Rush","YYZ - Live in Cleveland",0.212,0.982,7,-3.779,1,0.104,0.000584,0.788,0.97,0.166,139.644,272840,4
"3e0KuLvoVxvTdfewVq7VcP","Rush","Medley",0.593,0.385,4,-12.937,1,0.173,0.59,5.12e-05,0.0762,0.92,171.187,147733,4
"2apNX5SVowUYNTAHgi4WIf","Queen","Another One Bites The Dust - Live At The Montreal Forum / November 1981",0.757,0.909,9,-5.712,1,0.133,0.0312,0.0488,0.412,0.405,111.825,240600,4
"7rkrEyowp24CGvy0vE3snq","Queen","Ride The Wild Wind",0.593,0.691,2,-13.163,0,0.0382,0.00439,0.00676,0.33,0.403,113.827,281440,4
"5PvD0laDXMT51BIo2JMxMO","Black Sabbath","Killing Yourself to Live",0.333,0.633,11,-11.473,0,0.0413,0.00122,0.0468,0.109,0.501,128.911,342440,4
"1PaYF6nLmSPwDLIOG82iRa","Rush","A Passage To Bangkok - Live",0.293,0.942,11,-6.375,0,0.0597,0.0248,0.0289,0.967,0.358,99.804,237467,4
"4hO1SWYmqJF6X7O5rZaE6R","Blue Öyster Cult","I Love the Night",0.487,0.488,0,-11.418,1,0.0262,0.00109,0.000671,0.541,0.183,134.62,263920,4
"6N0AnkdDFZUetw8KAGHV7e","Blue Öyster Cult","Godzilla",0.373,0.869,4,-7.719,1,0.0554,0.164,7.76e-06,0.605,0.696,184.024,221400,4
"0H3Z24wgVfdl2YeQJvZfJM","Led Zeppelin","Celebration Day",0.371,0.996,9,-3.438,0,0.181,0.0141,0.806,0.989,0.0379,135.198,222147,4
"5iNr7y6iWNkwVvVeOXSLT5","Led Zeppelin","D'yer Mak'er - Remaster",0.526,0.918,9,-8.789,0,0.0771,0.25,4.54e-05,0.0778,0.578,164.453,262760,4
"7x2UCrhyXgeeDiLIeg29d6","Led Zeppelin","Going to California",0.607,0.152,2,-19.272,1,0.0381,0.927,0.824,0.0928,0.224,100.006,200027,4
"17HT5At90d2Pl5cXnKls4S","Rush","Totem",0.533,0.937,4,-4.577,0,0.0797,0.00143,0.895,0.0807,0.303,174.039,228980,4
"48JM82SHQTBYkhEYhMaOaa","The Beatles","She Loves You - Remastered 2009",0.391,0.883,7,-5.973,1,0.0442,0.264,0,0.157,0.927,75.442,141333,4
"1nyLujWRDFnsuKkz1Iq387","Yes","Siberia",0.348,0.738,11,-8.401,0,0.0443,0.027,0.0185,0.134,0.577,118.668,532947,4
"3m86qx7aIeqFcYcQ1UXUvP","Queen","The Show Must Go On",0.421,0.517,11,-11.49,0,0.035,0.526,1.82e-06,0.136,0.109,84.011,272107,4
"3uQDfCKlwfK9Yz10JFcsC7","Rush","Manhattan Project",0.412,0.949,0,-6.378,1,0.123,0.0621,0.0355,0.105,0.192,161.537,304867,4
"5PYxUsYofsHIGEgVPhCbxT","Queen","Brighton Rock Solo - Live At Wembley Stadium / July 1986",0.259,0.9,4,-7.714,0,0.168,0.881,0.86,0.964,0.159,148.337,550827,4
"69XM8H8if0YrYAAwW08fKA","Rush","I Think I'm Going Bald",0.413,0.748,4,-8.064,0,0.0688,0.0482,0.0017,0.18,0.647,130.322,217773,4
"57AmtAnsXC1FWGFa0PpbC1","Rush","The Anarchist (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",0.276,0.952,7,-4.234,1,0.0924,0.0279,0.0121,0.695,0.32,139.757,419773,4
"0xfKUuwKtz082u9vVo7OJ4","Rush","Headlong Flight - Live R40 Tour",0.319,0.941,6,-6.541,0,0.0794,0.00014,0.0073,0.87,0.287,90.646,525722,4
"4k4tFDl5rmRAA7L7gIjBTI","Led Zeppelin","Kashmir - Live: O2 Arena, London - December 10, 2007",0.344,0.641,2,-8.138,1,0.0303,7.12e-05,0.0321,0.976,0.147,78.541,546600,3
"5URpMAb54ke5nwHFe93Xmb","David Bowie","Life on Mars?",0.803,0.0791,10,-19.298,1,0.0636,0.975,0.877,0.0954,0.705,117.95,218880,4
"1uBMgVAUYLnzVL5uQT88FP","Led Zeppelin","Whole Lotta Love - Remaster",0.444,0.892,9,-11.367,1,0.424,0.0627,0.0354,0.417,0.394,88.063,329760,4
"16qgVt7ZsNftbZrZdv7RTd","Rush","The Enemy Within - Live - Grace Under Pressure Tour",0.364,0.959,11,-4.808,0,0.0801,0.000335,0.000431,0.757,0.429,145.772,288307,4
"6fdFJHwUuJqpKDYI1RyIZR","Rush","Between the Wheels - Snakes & Arrows Live Version",0.25,0.909,0,-3.355,1,0.0493,9.58e-05,0.0463,0.953,0.144,135.727,361120,4
"1cZFtBtAcLi6usrglYEFZA","Rush","Stick It Out - Live in Cleveland",0.413,0.918,9,-3.973,0,0.0411,0.00394,5.24e-06,0.9,0.184,119.751,262173,4
"4dxvxIJyRionBTOIo3v8yH","Blue Öyster Cult","She's as Beautiful as a Foot",0.617,0.676,7,-10.297,1,0.0292,0.108,0.141,0.21,0.391,110.789,176240,4
"69t7DsYDpR8OnIgyvoOoTW","Rush","Everyday Glory",0.603,0.81,7,-7.142,1,0.031,0.000108,9.32e-05,0.201,0.595,119.924,311133,4
