"trackID","artistName","trackName"
"2JbS4ZDBIUcXavA9mfb2nC","Cream","SWLABR"
"0GxV3poTM7Z7fKSUqy5qFw","Cream","Tales Of Brave Ulysses"
"6OWonlTNJpRwNRI6IYDY0a","Cream","World Of Pain"
"null","Data Hackers","Aprendizado e o futuro da educação"
"5URpMAb54ke5nwHFe93Xmb","David Bowie","Life on Mars?"
"6kEyuKmF4kZylB5LcuRd8Y","David Bowie","Space Oddity"
"28FBXPS2VWWvp6eMU6JL3o","David Bowie","Starman"
"4RzUcGT0RAmyeEe5wmvz88","David Gilmour","Echoes"
"7yn7rpRvg6XCq10B94etIp","Deep Purple","Black Night"
"4gVTozEmzwAUXpwj3jEetX","Deep Purple","Highway Star"
"2JhJOPGvtqMpj5RQC8cIYf","Deep Purple","Perfect Strangers"
"2VpWlosniF04Stk8W9BZll","Deep Purple","When A Blind Man Cries"
"4VQeQlaSsAfP8fmZynnb7q","Dio","Don't Talk To Strangers"
"07rjmFuB0I2O1UuIPnu6Qj","Freddie Mercury","Barcelona"
"7M8uS1GRmHVZShFuaGKaY4","Freddie Mercury","Living on My Own"
"7m1JSCGnmorA3tjtWJpDj4","Freddie Mercury","The Great Pretender"
"4yKWUl2WR327Ol0MNzOD5B","Geddy Lee","My Favorite Headache"
"3cFUgGMpaynZHiuEqv48qn","Geddy Lee","Runaway Train"
"1mAFKniHLRQSpd8wWani14","Geddy Lee","The Angels' Share"
"10kUVvy3damVfxFRABXKkB","Geddy Lee","Working at Perfekt"
"7j02rdE5RVtNcNMuLGY5SS","Howlin' Wolf","Spoonful"
"6rhuSXgoD3A34u7W6N54Oc","Joelma","Botar Pra Chorar"
"7m1qOvGJOhAWd00dUfq2mn","Led Zeppelin","Babe I'm Gonna Leave You"
"3F3hmyDVsfNAzCXCfVMIv0","Led Zeppelin","Black Dog"
"0H3Z24wgVfdl2YeQJvZfJM","Led Zeppelin","Celebration Day"
"3MKWTqACZYmbKmoLDBmoVt","Led Zeppelin","Communication Breakdown"
"3oQmhSFOyQx8v1qf0shHNP","Led Zeppelin","Dazed and Confused"
"7gqmwUh6nk9KFyjAPifJlj","Led Zeppelin","Friends"
"26EevkzlKOnKeeeFtsPsql","Led Zeppelin","Gallows Pole"
"7x2UCrhyXgeeDiLIeg29d6","Led Zeppelin","Going to California"
"7zqYR0ke1rSZxQYkMUorCM","Led Zeppelin","Good Times Bad Times"
"2vOgQcXtjY7J0LVRXeqYpK","Led Zeppelin","Heartbreaker"
"0ylE7gAbnYkkzt8LhyZdoT","Led Zeppelin","Hey, Hey, What Can I Do"
"5GpPnZgfycTTzBksvGQsas","Led Zeppelin","Immigrant Song"
